row_id,county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k
0,8e686a7,fb8cab1,3876.0,408.0,24.583,,18.38,0.945944865761418,0.010761068313299961,0.026038388137845588,0.00568528121659023,0.005635322682173796,0.0,0.005935073888672402,0.0,4.172,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.55,0.023,0.107,0.062,0.31,0.166,0.1,,0.262,0.342,11.022907705415731,,,217,,,0.471,0.218,0.19,0.08324974924774323,0.32798395185556667,0.3891675025075225,0.1995987963891675,10.00898242,9.7523418452
1,d1b5fc5,842bd12,10224.0,1166.0,28.346,3.0,26.694,0.8089593811995271,0.002284431797687514,0.1734264473077771,0.0018034987876480372,0.0014928962186642086,0.0,0.012033344688696072,0.0,7.714,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.545,0.04,0.324,0.201,0.253,0.102,0.066,0.07,0.2,0.148,9.904098593733563,,18.26,181,2009.0,1690.0,0.472,0.29,0.077,0.0990990990990991,0.20220220220220222,0.3023023023023023,0.3963963963963964,14.482892690999998,3.0132192846
2,19a463b,2b7da97,27023.0,2927.0,21.641,9.0,31.028,0.9566205911349872,0.005140741634977164,0.013088267841693325,0.00472827508500835,0.0047081547654976765,0.0,0.014808555159855939,0.0009054143779803223,9.789,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.508,0.063,0.129,0.032,0.296,0.215,0.087,0.07,0.187,0.258,11.011502128073591,,19.94,234,4650.0,1350.0,0.496,0.208,0.192,0.1377245508982036,0.3872255489021956,0.2554890219560878,0.21956087824351297,9.6203464799,10.873571692
3,1711ab7,5029ed4,8735.0,1039.0,23.11,0.0,27.734,0.8948352697755849,0.0002984243195925513,0.07657568040744867,0.000994747731975171,0.004297310202132739,0.0,0.022998567563265952,0.0,13.735,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.545,0.038,0.207,0.084,0.255,0.182,0.104,0.081,0.169,0.274,12.845769842798239,,30.31,231,4420.0,1749.0,0.503,0.193,0.215,0.07715430861723446,0.30861723446893785,0.39879759519038077,0.2154308617234469,9.3832246252,10.870809017000001
4,1eb4681,b795815,3681.0,365.0,21.985,2.0,19.673,0.9238858684868447,0.0004960514306123259,0.0428886066907417,0.0,0.01362157228461447,0.0,0.01690543275526807,0.002202468351918727,8.217,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.474,0.034,0.177,0.075,0.324,0.118,0.113,,0.178,0.34,11.56575007208846,,,270,,1249.0,0.516,0.222,0.23,0.09253731343283583,0.3621890547263682,0.34626865671641793,0.19900497512437815,9.5432856169,14.72392638
5,abf992b,4522abc,8540.0,751.0,22.543,0.0,34.937,0.5606369743717343,0.4175466533963673,0.0005971634735008708,0.0012938541925852202,0.0,0.0,0.01992535456581239,0.0,21.051,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.361,0.11,0.246,0.1,0.322,,0.148,0.129,,0.317,12.822858846189135,,39.16,388,,8770.0,0.515,0.199,0.185,0.317,0.388,0.198,0.097,10.456273764,14.13973384
6,279f041,4522abc,22712.0,1901.0,24.602,19.0,29.242,0.9297985428196043,0.005563960664092049,0.03941553529482024,0.0023888203208981963,0.005106103435919895,0.0,0.01623402476410399,0.0014930127005613727,9.651,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.47,0.061,0.258,0.126,0.275,0.294,0.108,0.07,0.299,0.231,13.395494408254708,,26.49,254,2500.0,1489.0,0.494,0.218,0.162,0.14257228315054832,0.2871385842472582,0.292123629112662,0.2781655034895314,10.953480699000002,6.8184317607
7,83adc69,4c72956,27974.0,3873.0,38.012,49.0,29.966,0.5370837387557339,0.008489048630830637,0.39690025616076574,0.017047598244603748,0.02453384697869299,0.002472249250382256,0.013473261978990847,0.0,15.655,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.462,0.106,0.297,0.117,0.267,0.15,0.078,0.05,0.169,0.188,8.035605698867622,,20.63,239,1410.0,7030.0,0.497,0.278,0.141,0.24900398406374508,0.2938247011952192,0.3077689243027889,0.14940239043824705,14.526718785999998,9.6606257939
8,f11285d,78e8330,2027.0,295.0,55.572,,21.808,0.18489867400550414,0.0019814861145859394,0.010407805854390793,0.7493820365273957,0.0,0.016572429321991492,0.0367575681761321,0.0,36.12,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.353,0.077,0.316,0.086,0.421,0.419,0.177,0.07,0.274,0.384,10.904799319706337,,,511,670.0,1980.0,0.5,0.415,0.075,0.18145563310069793,0.4327018943170489,0.2911266201395813,0.094715852442672,26.816187226,6.8259385666
9,e34c58f,9e0007d,17165.0,2223.0,29.769,,28.664,0.961331987084004,0.009077186072317583,0.011856324539392789,0.002779138467075207,0.0007997520768561747,0.0,0.014055642750747268,9.996900960702183e-05,17.793,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.41,0.073,0.269,0.063,0.379,0.163,0.124,0.081,,0.327,12.563829583059716,,39.48,345,4409.0,2859.0,0.51,0.223,0.19,0.17753259779338013,0.42527582748244735,0.2678034102306921,0.12938816449348045,11.687320139,15.32859576
